time,BMP280Pressure,BMP280Temperature,SHT4xHumidity,SHT4xTemperature
2024-05-12T09:05:30Z,100.70875,27.175,55.1175,26.885
2024-05-12T09:05:40Z,100.708,27.106,54.872,26.744
2024-05-12T09:05:50Z,100.70875,27.096875,54.95875,26.689375
2024-05-12T09:06:00Z,100.7042105,27.41631579,54.77157895,27
2024-05-12T09:06:10Z,100.708,27.404,54.463,26.9
2024-05-12T09:06:20Z,100.71,27.41222222,54.68,26.86888889
2024-05-12T09:06:30Z,100.7090476,27.70619048,54.28761905,27.15142857
2024-05-12T09:06:40Z,100.7078947,27.71947368,53.84631579,27.18
2024-05-12T09:06:50Z,100.71,27.701,54.04,27.297
2024-05-12T09:07:00Z,100.71,28.09176471,53.12117647,28.00117647
2024-05-12T09:07:10Z,100.7066667,28.16466667,52.26066667,27.95933333
2024-05-12T09:07:20Z,100.7083333,28.06055556,52.63333333,27.68611111
2024-05-12T09:07:30Z,100.70875,28.034375,53.159375,27.518125
2024-05-12T09:07:40Z,100.71,28.169375,53.305625,27.698125
2024-05-12T09:07:50Z,100.7089474,28.09210526,53.31578947,27.51894737
2024-05-12T09:08:00Z,100.71,28.121,53.527,27.641
2024-05-12T09:08:10Z,100.703,28.48,52.825,28.114
2024-05-12T09:08:20Z,100.7,28.72368421,52.06,28.55052632
2024-05-12T09:08:30Z,100.7,28.987,51.532,28.823
2024-05-12T09:08:40Z,100.7,29.094,51.834,28.878
2024-05-12T09:08:50Z,100.7,29.165,51.4925,28.9725
2024-05-12T09:09:00Z,100.7,29.25,51.41,29.03
2024-05-12T09:09:10Z,100.7,29.242,51.46,29.0415
2024-05-12T09:09:20Z,100.7010526,29.08473684,51.64263158,28.91473684
2024-05-12T09:09:30Z,100.7033333,28.92444444,52.06,28.75333333
2024-05-12T09:09:40Z,100.7,29.10611111,51.82666667,29.06111111
2024-05-12T09:09:50Z,100.7,29.17833333,51.27666667,29.13388889
2024-05-12T09:10:00Z,100.7,29.489,50.887,29.444
2024-05-12T09:10:10Z,100.7,29.785,50.425,29.648
2024-05-12T09:10:20Z,100.7,30.326,49.882,29.883
2024-05-12T09:10:30Z,100.7,30.46,49.593,30.023
2024-05-12T09:10:40Z,100.697,30.389,49.668,29.969
2024-05-12T09:10:50Z,100.6966667,30.46666667,49.70666667,29.96666667
2024-05-12T09:11:00Z,100.695,30.664,49.604,30.084
2024-05-12T09:11:10Z,100.693,30.669,49.251,30.142
2024-05-12T09:11:20Z,100.69,30.719,49.201,30.198
